CrashID,CrashDate,CrashYear,CrashMonth,CrashHour,Latitude,Longitude,CrashSevr,CrashType,CrashTypGr,CrashAlcoh,NM_Type,NM_Age,NM_Sex,NM_Race,NM_Inj,NM_AlcDrg,NM_NumTot,NM_NumK,NM_NumA,NM_NumB,NM_NumC,NM_NumU,DrvrAge,DrvrSex,DrvrRace,DrvrVehTyp,SpeedLimit,RdClass,LightCond,Weather,County,City
106005510,2019-09-28,2019,September,17,35.996606,-78.917938,C: Possible Injury,Motorist Left Turn - Opposite Direction,Motorist Left Turn / Merge,No,Bicyclist,44,Male,White,C: Possible Injury,No,2,0,0,0,2,0,80,Male,Black,Passenger Car,30 - 35 MPH,Secondary Route,Daylight,Clear,Durham,Durham
106005556,2019-09-22,2019,September,17,35.993725,-78.898295,C: Possible Injury,Motorist Right Turn - Same Direction,Motorist Right Turn / Merge,No,Bicyclist,41,Female,White,C: Possible Injury,No,1,0,0,0,1,0,65,Male,Black,Pickup,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106005890,2019-09-24,2019,September,9,35.997462,-78.898559,B: Suspected Minor Injury,Motorist Left Turn - Parallel Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,64,Female,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,51,Female,White,Sport Utility,30 - 35 MPH,US Route,Daylight,Clear,Durham,Durham
106010674,2019-10-03,2019,October,13,36.008741,-78.943956,B: Suspected Minor Injury,Motorist Left Turn - Parallel Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,12,Male,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,33,Male,Black,Passenger Car,30 - 35 MPH,Secondary Route,Daylight,Clear,Durham,Durham
106010793,2019-10-02,2019,October,19,35.919237,-78.813949,B: Suspected Minor Injury,Motorist Drive Through - Signalized Intersection,Motorist Failed to Yield - Signalized Intersection,No,Bicyclist,33,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,27,Female,Black,Passenger Car,50 - 55 MPH,Secondary Route,Daylight,Clear,Durham,Durham
106015136,2019-09-17,2019,September,8,36.02351,-78.894217,B: Suspected Minor Injury,Motorist Drive Out - Sign-Controlled Intersection,Motorist Failed to Yield - Sign-Controlled Intersection,No,Bicyclist,31,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,36,Female,White,Sport Utility,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106015683,2019-09-21,2019,September,8,36.010127,-78.895926,C: Possible Injury,Motorist Overtaking - Other / Unknown,Motorist Overtaking Bicyclist,No,Bicyclist,49,Male,White,C: Possible Injury,No,1,0,0,0,1,0,30,Male,Black,Sport Utility,5 - 15 MPH,Local Street,Daylight,Other,Durham,Durham
106015952,2019-10-01,2019,October,6,36.119339,-78.940071,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Walking Along Roadway,No,Pedestrian,62,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,56,Female,White,Sport Utility,40 - 45 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,None - Rural Crash
106017692,2019-10-09,2019,October,14,35.947441,-78.88005,B: Suspected Minor Injury,Working in Roadway,Working or Playing in Roadway,No,Pedestrian,21,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,Not coded,Unknown,Unknown,Passenger Car,20 - 25 MPH,Local Street,Daylight,Clear,Durham,Durham
106026849,2019-09-30,2019,September,23,35.987432,-78.95795,K: Killed,Disabled Vehicle-Related,Unusual Circumstances,Yes,Pedestrian,30,Female,White,K: Killed,No,1,1,0,0,0,0,39,Male,Hispanic,Passenger Car,60 - 75 MPH,US Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
106027109,2019-10-15,2019,October,8,36.038597,-78.883869,C: Possible Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,16,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,72,Male,Black,Pickup,30 - 35 MPH,Secondary Route,Dawn,Clear,Durham,Durham
106028911,2019-06-27,2019,June,8,36.016307,-78.890237,C: Possible Injury,Motorist Left Turn - Perpendicular Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,33,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,29,Male,Black,Passenger Car,20 - 25 MPH,US Route,Daylight,Cloudy,Durham,Durham
106029330,2019-10-19,2019,October,23,35.907998,-78.916234,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Walking Along Roadway,No,Pedestrian,35,Male,Black,C: Possible Injury,No,1,0,0,0,1,0,Not coded,Unknown,Unknown,Sport Utility,30 - 35 MPH,Local Street,Dark - Roadway Not Lighted,Rain,Durham,Durham
106032112,2019-10-11,2019,October,22,36.043866,-78.878857,K: Killed,Walking Along Roadway Against Traffic - From Behind,Walking Along Roadway,Yes,Pedestrian,24,Male,Black,K: Killed,No,1,1,0,0,0,0,47,Male,White,Passenger Car,30 - 35 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
106036642,2019-10-23,2019,October,7,35.971175,-78.829796,A: Suspected Serious Injury,Walking in Roadway,Pedestrian in Roadway - Circumstances Unknown,No,Pedestrian,14,Male,Hispanic,A: Suspected Serious Injury,No,1,0,1,0,0,0,74,Male,Black,School Bus,30 - 35 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,None - Rural Crash
106041817,2019-10-28,2019,October,14,35.982885,-78.898782,C: Possible Injury,Signalized Intersection - Other / Unknown,Crossing Paths - Other Circumstances,No,Bicyclist,51,Male,Black,C: Possible Injury,No,1,0,0,0,1,0,37,Female,Black,Passenger Car,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106043937,2019-10-31,2019,October,19,35.992116,-78.866516,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,34,Male,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,44,Male,Black,Passenger Car,30 - 35 MPH,NC Route,Dark - Lighted Roadway,Clear,Durham,Durham
106046783,2019-10-29,2019,October,15,35.979729,-78.879458,C: Possible Injury,Bicyclist Overtaking - Other / Unknown,Bicyclist Overtaking Motorist,No,Bicyclist,53,Male,Unknown/Missing,C: Possible Injury,No,1,0,0,0,1,0,62,Female,Black,Passenger Car,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106054148,2019-10-29,2019,October,9,35.95034,-78.880453,C: Possible Injury,Backing Vehicle - Roadway,Backing Vehicle,No,Pedestrian,48,Male,Hispanic,C: Possible Injury,No,1,0,0,0,1,0,23,Male,White,Van,20 - 25 MPH,Local Street,Daylight,Cloudy,Durham,Durham
106055436,2019-11-07,2019,November,13,35.900045,-78.89616,C: Possible Injury,Motorist Exiting Driveway or Alley,Crossing Driveway or Alley,No,Pedestrian,42,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,70,Male,White,Sport Utility,40 - 45 MPH,NC Route,Daylight,Clear,Durham,Durham
106055501,2019-11-10,2019,November,13,36.004815,-78.808435,B: Suspected Minor Injury,Head-On - Motorist,Head-On,No,Bicyclist,12,Male,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,Not coded,Unknown,Unknown/Missing,"Light Truck (Mini-Van, Panel)",20 - 25 MPH,Local Street,Daylight,Clear,Durham,Durham
106055555,2019-11-10,2019,November,14,35.94908,-78.983416,B: Suspected Minor Injury,Motorist Drive Out - Residential Driveway,Motorist Failed to Yield - Midblock,No,Bicyclist,70,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,23,Female,Black,Van,30 - 35 MPH,Secondary Route,Daylight,Clear,Durham,Durham
106057902,2019-11-11,2019,November,13,36.050705,-78.980228,B: Suspected Minor Injury,Motorist Overtaking - Misjudged Space,Motorist Overtaking Bicyclist,No,Bicyclist,63,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,83,Female,White,Sport Utility,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106060790,2019-11-14,2019,November,6,35.949504,-78.925542,C: Possible Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,49,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,30,Male,Black,Passenger Car,30 - 35 MPH,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
106061505,2019-11-13,2019,November,19,35.937805,-78.841458,K: Killed,Dash,Dash / Dart-Out,No,Pedestrian,73,Female,White,K: Killed,No,1,1,0,0,0,0,64,Male,White,Pickup,40 - 45 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
106063868,2019-11-15,2019,November,14,36.016614,-78.911935,O: No Injury,Dash,Dash / Dart-Out,No,Pedestrian,15,Male,Black,Unknown Injury,No,1,0,0,0,0,0,70,Female,White,Passenger Car,20 - 25 MPH,Local Street,Daylight,"Snow, Sleet, Hail, Freezing Rain/Drizzle",Durham,Durham
106069320,2019-11-17,2019,November,18,35.990749,-78.90458,B: Suspected Minor Injury,Standing in Roadway,Pedestrian in Roadway - Circumstances Unknown,No,Pedestrian,22,Male,Black,B: Suspected Minor Injury,Unknown,1,0,0,1,0,0,Not coded,Unknown,Unknown,Pickup,Unknown,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
106069475,2019-11-20,2019,November,19,36.090545,-78.913845,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Walking Along Roadway,No,Pedestrian,20,Female,White,C: Possible Injury,No,1,0,0,0,1,0,Not coded,Unknown,Unknown,Pickup,30 - 35 MPH,Secondary Route,Dark - Lighted Roadway,Clear,Durham,Durham
106070631,2019-11-23,2019,November,0,36.077648,-78.916047,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,Yes,Pedestrian,25,Male,White,B: Suspected Minor Injury,"Yes - Alcohol, Impairment Suspected",1,0,0,1,0,0,Not coded,Unknown,Unknown,Van,40 - 45 MPH,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
